,Tipo de accidente,Descripción del accidente
321,Salida de vía,Caída de motorista sin contrario.Es trasladadon al Hospital Gregorio Marañon de carácter leve.
322,Colisión de vehículos,Accidente por alcance de 4 vehículos.Policía los saca de la M-30 a Méndez Álvaro.
323,Colisión de vehículos,Accidente de (chapa) en carril derecho con policía los pasamos al arcén señalizar (toman datos y se marchan).
324,Colisión de vehículos,"Accidente entre 2 vehículos por alcance en el carril izquierdo, cuando llega el vigilante solo se encuentra en el punto Policía Municipal y 1 vehículo implicado parado en el arcén derecho hasta que es retirado por su grúa. Sin heridos ni daños al patrimonio."
325,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril izquierdo hasta que se trasladan al arcén derecho. Sin heridos ni daños al patrimonio. Ambos vehículos se retiran por sus medios.
326,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril izquierdo señalizado por Policía Municipal. 2 heridos trasladados al Hospital la Paz con pronostico reservado.
327,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril izquierdo con 2 heridos leves dados de alta en el punto. 1 vehículo retirado por su grúa del seguro.
328,Salida de vía,Accidente de 1 vehículo por salida de vía que se retira del punto por sus medios. Sin heridos ni daños al patrimonio.
329,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, uno de los vehículos implicados se dio a la fuga. Sin heridos ni daños al patrimonio."
330,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril derecho. Sin heridos ni daños al patrimonio.
331,Colisión de vehículos,"Accidente por alcance lateral entre un motorista y un turismo que se dio a la fuga según informa la Policía Municipal. Dicho motorista resulta herido leve, se corta el carril izquierdo en el PK 29+450 y el carril derecho en el PK 29+500."
332,Salida de vía,Accidente de un vehículo por salida de vía hacia el lado derecho causando daños al patrimonio. Se cortan 2 carriles derechos y se recogen los restos.
333,Colisión de vehículos,AVISO COLISION DOS VEHICULOS POR ALCANCE. REANUDAN LA MARCHA. SE ANULA INCIDENCIA ANTES DE SALIR DE BASE
334,Colisión de vehículos,"Accidente entre 2 vehículos por alcance ocupando el carril derecho que son sacados fuera de zona por el vigilante para la toma de datos, ambos vehículos reanudan la marcha por sus medios."
335,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril izquierdo señalizados junto con Policía Municipal.
336,Colisión de vehículos,Accidente entre 2 vehículos por alcance lateral ocupando el carril izquierdo. Sin heridos ni daños al patrimonio.
337,Colisión de vehículos,Accidente entre un turismo y un motorista ocupando el carril central y que son trasladados al carril derecho por Policía Municipal y el vigilante. Sin heridos ni daños al patrimonio.
338,Colisión de vehículos,"Accidente en arcén derecho sin heridos, los vehículos se reteriran  por sus medios."
339,Colisión de vehículos,"Colisión alcance lateral carril izquierdo, policía para tráfico y pasa vehículo al arcén derecho, corto 1/4 carril  hasta terminar estos por sus medios, una vez hacen parte amistoso."
340,Colisión de vehículos,"Colisión por alcance con heridos y sin daños carril central, a mi llegada policía municipal y nacional están pasando vehículos al carril derecho, corto carril derecho hasta que Samur atiende a usuario y lo traslada al gregorio marañón, vehículo 1 y 4 grúas seguro y vehículo 2 y 3 por sus medios."
341,Colisión de vehículos,"Colisión por alcance carril izquierdo sin heridos ni daños, a mi llegada policía saca los vehículos a M23,se corta1/4 de carril  hasta retirada de estos por sus medios, una vez toman datos."
342,Colisión de vehículos,"AVISO DE ACCIDENTE, AL LLEGAR POLICIA NOS DICE Q ME RETIRE"
343,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril derecho hasta que la Policía Municipal traslada dichos vehículos al arcen derecho quedando cortado 1/4 de carril. Uno de los vehículos implicados se retira por sus medios y el otro en su grúa.
344,Colisión de vehículos,alcance entre dos vehículos no cortamos carril no samur sacamos vehículo dos a la calle Alejandro López policía municipal se queda en isleta con vehículo 1
345,Salida de vía,Accidente de 1 vehículo por salida de vía ocupando el carril derecho. Sin heridos ni daños al patrimonio.
346,Colisión de vehículos,"Accidente de vehículos:señalizamos con bul c-15 tres de los pasajeros son trasladados al hospital sin pronostico, sacamos uno de los vehículos, el resto los retiran sus grúas y la grúa de movilidad"
347,Colisión de vehículos,Accidente entre un turismo y un autobus por alcance ocupando el lado derecho del ramal 12RA ocupando parte del carril. Sin heridos ni daños al patrimonio.
348,Salida de vía,SALIDA DE VIA 18RH. DAÑOS EN BORDILLO Y 2 FOCOS EMERGENCIA HASTIAL IZQ. CORTAMOS CARRILS. SACAMOS AL EXTERIOR EL VEHICULO. EL RELEVO LIMPIA CRISTALESEN CALZADA. CORTE DESDE 7:59 A 8:15
350,Salida de vía,"Aviso de accidente, cuando llega el vigilante no hay ningún vehículo en el punto pero observa daños al patrimonio y desde Movilidad informan que dicho accidente fue atendido por la Guardia Civil."
351,Salida de vía,Accidente de 1 vehículo por salida de vía que produce daños al patrimonio en el lado derecho. La Policía Municipal activa a Bomberos para comprobar el estado del baculo de la farola dañada.
352,Salida de vía,Accidente con daños sin controlar en el lado derecho.
353,Colisión de vehículos,Alcance entre dos vehículos sin heridos uno abandona por sus medios y el otro (skoda) lo cargamos con f13 y sacamos al exterior
355,Colisión de vehículos,Accidente entre 3 vehículos por alcance ocupando el carril central y trasladados al arcén derecho hasta sus retiradas en grúa. Sin heridos ni daños al patrimonio.
356,Colisión de vehículos,Aviso de Centro de Control de colisión de vehículos por alcance en arcén derecho hasta retirada deestos por grúa propia.
357,Colisión de vehículos,Accidente en arcén derecho sin heridos.
358,Colisión de vehículos,"Accidente en carril central y derecho, un herido trasladado leve(vehículo 4)"
359,Colisión de vehículos,"PEQUEÑO ALCANCE ENTRE DOS VEHICULOS, SALEN POR SUS MEDIOS"
360,Colisión de vehículos,Alcance entre vehículos en carril izquierdo.
361,Colisión de vehículos,"Accidente por alcance en carril izquierdo, sin daños ni heridos."
362,Colisión de vehículos,Accidente sin heridos en el carril derecho
363,Colisión de vehículos,"Vehículo parado en arcen izquierdo, colisona contra mediana corto parte del carril. Sin daños, ni heridos."
364,Colisión de vehículos,Alcance entre vehículos en carril izquierdo.Con ayuda de policía se llevan al arcén derecho.
365,Colisión de vehículos,Alcance entre vehículos en carril central.Policía lo saca afuera.
366,Colisión de vehículos,"Accidente lateral entre 3 vehiculos, el que lo provoca se da a la fuga, los cargamos con C-10 y F-13 y los sacamos al exterior."
367,Colisión de vehículos,Accidente en carril derecho.Sin heridos.Los vehículos se retiran por sus medios.
368,Otros,señalizar vehículo con hito debajo.Llega el marido retira el hito y se retiran.
369,Colisión de vehículos,Señalizo colisión de vehículos por alcance sin heridos.
370,Salida de vía,"El vehículo ha impactado contra bordillo de hastial derecho. Quedando atravesado el ramal, cortamos ramal, sin heridos."
372,Colisión de vehículos,"Accidente en carril izquierdo.Herido leve,dado de alta en el punto."
373,Otros,Caída de motorista en carril derecho.Retiramos veh a la isleta.Sin heridos.Vehículo retirado por su grúa.
375,Colisión de vehículos,Colisión de 2 vehículos en transfer.El herido dado de alta en el lugar.
376,Colisión de vehículos,Aviso del CCT de accidente.Colisión de 5 vehículos carril derecho.Limpian aceite en la calzada.Herido atendido en el punto.
377,Colisión de vehículos,Señalizp salida de vía sin heridos.Con daños al patrimonio.
378,Salida de vía,Señalizar vehículo (salida de vía) choca contra el muro izquierdo.Limpio los restos.
379,Colisión de vehículos,Accidente en carril cen tral señalizo con policía (se lo encuentra F64)
380,Salida de vía,Vehículo se sale de vía colisionando contra barrera.No ocupantes vehículo.
381,Salida de vía,Salida de vía en carril izquierdo.etiramos con olicía al arcén derecho.
382,Colisión de vehículos,"De regreso a base,encontramos dos vehiculos accidentados por alcance en P.K 14VE10 el primero abandona el punto por sus medios y al segundo le sacamos al exterior con F-12"
383,Salida de vía,Vehículo que se sale de la vía causando daños al patrimonio
384,Colisión de vehículos,Colisión lateralde vehículos con daños y heridos.
385,Colisión de vehículos,Colisión 2 vehículos x alcance. Cortamos 2 carriles. Samur no traslada a ninguna víctima. Llevamos los vehículos al escuadrón de policía x orden de policía con la c-10 y f-11
386,Salida de vía,SALIDA DE VIA DE UN VEHICULO DE POLICIA NACIONAL. ES RETIRADO POR SU GRUA. DAÑOS EN BORIDLLO
387,Salida de vía,SALIDA DE VIA CONTRA EL BORDILLO. LOS 4 OCUPANTES HAN SALIDO PO SE. EL VEHICULO ES RETIRADO POR LA GRUA DEL USUARIO
388,Colisión de vehículos,accidente de tres vehículos por alcance dos de ellos salen por sus medios y uno lo sacamos nosotros al exterior
389,Vuelco,"Accidente moto, vuelco lateral. acompañante herido leve trasladado por samur, conductor ileso saca la moto por sus medios."
390,Colisión de vehículos,Señalizar vehículo accidente en carril derecho.
391,Colisión de vehículos,"COLISION DE DOS VEHICULOS, SALEN POR SUS MEDIOS NO LLEGAMOS AL PUNTO"
392,Colisión de vehículos,COLISION DE 5 VEHICULOS. SACAMOS DOS AL EXTERIOR A LA PLAZA DE S.POL Y EL RESTO SALE POR SUS MEDIOS. CORTE CARRIL DERECHO NO HAY HERIDOS
393,Colisión de vehículos,"Accidente entre 2 vehículos por alcance ocupando el carril derecho, sin heridos ni daños al patrimonio. Uno de dichos vehículos sale ardiendo debido a la colisión."
394,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando 2 carriles derechos. 1 herido leve dado de alta en el punto.
395,Colisión vehículos,"Aviso de accidente de vehículos, se señaliza con Bul c-15, los vehículos se retiran por sus medios"
396,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, sin heridos ni daños al patrimonio. Al llegar el vigilante ambos vehículos se encuentran retirados al arcén del PK 32+200."
397,Colisión de vehículos,"Aviso desde el Centro de Control de un accidente en el carril izquierdo, cuando el vigilante llega solo queda 1 vehículo implicado cargado en su grúa y Guardía Civil, se retiran en ese momento del punto sin poder tomar su indicativo ni fotografías."
398,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, sin heridos ni daños al patrimonio. Ambos vehículos se retiran por sus medios."
399,Salida de vía,Accidente de 1 vehículo por salida de vía que se encuentra parado en el carril izquierdo medio subido en el muro. Sin heridos (el ocupante no quiso ser atendido por el Samur). Señalizado con apoyo de Policía Municipal.
400,Colisión de vehículos,"Accidente entre 2 vehículos por alcance ocupando el arcén derecho, sin heridos ni daños al patrimonio.Se señalizan hasta que ambos vehículos se retiran por sus medios."
401,Colisión de vehículos,"Accidente entre un turismo y un motorista por alcance ocupando el arcén derecho, el motorista resulta herido leve y trasladado por el Samur al Hospital 12 de Octubre, sin daños al patrimonio. Se señaliza hasta la retirada de la motocicleta en la grúa de movilidad y el turismo por sus medios."
402,Colisión de vehículos,"Señalizar accidente por alcance en carril derecho, sin heridos, ni daños al patrinmonio. El vehiculo 1 se retira por sus medios y el 2 en grua seguro"
403,Colisión vehículos,"Colisión por alcance de dos vehículos, un vehículo sale por sus propios medios, el segundo vehículo es sacado por grúa plataforma. Corte de carril de 18:52 a 19:09"
404,Colisión de vehículos,"Accidente en arcen derecho ocupando parte del carril. 1 behiculo es retirado por su grua, 1 vehiculo se marcha por sus medios."
405,Colisión de vehículos,"Señalizar accidente por alcance en carril izquierdo,con heridos y sin daños a patrimonio."
406,Colisión de vehículos,"Colisión multiple 2 cariles izquierdos con heridos, sin daños, corto 2 carriles izquierdos hasta que Bomberos y Samur actuan, Samur traslada a usuarios de vehiculos 3 y 4 al Gregorio Marañon (leves) vehiculos 2,3 y 4 grua movilidad. Vehiculos 1 y 5 gruas propias"
407,Colisión de vehículos,"Colisión de 3 vehiculos con heridos sin daños en carril izquierdo, a mi llegada Policía ya los habia pasada a carril derecho quedando solo 2 vehiculos en punto con Samur en el mismo, que atiende y trasladan a los 2 usuarios de ambos vehiculos al Gregorio Marañón (leves) ambos vehiculos gruas propias."
408,Colisión vehículos,"Vehículo parado en hastial derecho, ha sido golpeado por otro vehículo que no se ha detenido, se recogen restos y el usuario abandona el punto por sus propios medios. Corte de carril 09:40 a 09:47"
409,Colisión de vehículos,"Colisión alcance entre moto y coche en carriles centrales a mi llegada policia y Samur estan en arcen derecho, corot medio carril drecho hasta que Samur atiende dando de alta en el punto. A mi llegada el vehiculos ya no estaba moto en grua de movilidad."
410,Colisión de vehículos,Aviso: accidente en margen derecho con heridos trasladado al Hospital Mutua Patronal
411,Colisión de vehículos,Accidente en carril izquierdo. Se ofrece grua y no la quiere. 1 herido leve trasladado al Gregorio Marañón 2 vehiculos retirados por sus grua. 1 vehiculo se retira por sus medios.
412,Colisión de vehículos,Accidente sin heridos an arcen derecho. Los vehiculos se retiran por sus medios. No se les ofrece grúa ya que pueden continuar.
413,Colisión vehículos,"Alcance entre vehículos, se sace un vehículo y el resto salen por sus propios medios."
414,Colisión de vehículos,Accidente sin heridos en arcen derecho. Los vehiculos se retiran por sus medios. No se les ofrece grúa ya que puen continuar.
415,Colisión de vehículos,Accidente entre 4 vehículos ocupando el carril derecho. 4 heridos leves trasladados por el Samur al hospital.
416,Caida de motorista,Accidente de un motorista por caida en el transfer que no resulta herido. La motocicleta se mueve a la isleta hasta que reanuda la marcha por sus medios.
417,Colisión de vehículos,Accidente por alcance entre 3 vehículos que se encuentran ocupando el arcén derecho. Sin heridos ni daños al patrimonio. Todos los vehículos implicados se retiran del punto por sus medios.
418,Colisión de vehículos,Accidente por alcance entre 3 vehículos que se encuentran ocupando el carril izquierdo. Sin heridos ni daños al patrimonio. Se ofrecen grúas pero prefieren esperar a sus asistencias.
419,Colisión de vehículos,"Accidente por alcance entre 2 vehículos que se encuentran ocupando el arcén derecho. Sin heridos ni daños al patrimonio. Uno de los vehículos se retira por sus medios y el otro se queda señalizado en el arcén a la espera de su grúa, se le ofrece una grúa pero no quiere."
420,Colisión de vehículos,Accidente por alcance entre 3 vehículos que se encuentran ocupando el arcen derecho. Sin heridos ni daños al patrimonio. Todos los vehículos implicados se retiran por sus medios.
421,Colisión de vehículos,Accidente por alcance entre 2 vehículos que se encuentran ocupando el carril derecho y estos son sacados por Policía Municipal al arcén derecho del ramal 31RC. Ambos vehículos son retirados por sus grúas.
422,Colisión de vehículos,"Accidente por alcance entre 2 vehículos, cuando llega el vigilante solo queda 1 vehículo implicado junto con su grúa."
423,Colisión de vehículos,Aviso del Centro de Control de un accidente por alcance entre 3 vehículos ocupando el carril izquierdo. Sin heridos ni daños al patrimonio.
424,Accidente con motorista implicado,"motorista cae y sale por sus propios medios, samur para porque se encuentra el vehículo, pero los ocupantes salen por sus propios medios."
425,Salida de vía,"vehículo accidentado, se saca al exterior en la plataforma. Corte de carril de 18:32 a 19:08"
426,Salida de vía,"Accidente de 1 vehículo por salida de vía, sin heridos y con daños al patrimonio. Policía Municipal solicita presencia del técnico para valorar daños en farola."
427,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril izquierdo y posteriormente trasladados junto con Policía Municipal al arcén derecho. En ese punto tambien se queda averiado un vehículo.
428,Colisión de vehículos,Accidente por alcance entre un turismo y un motorista que resulta herido sin pronosticar (femur dañado) trasladado al hospital por el Samur antes de la llegada del vigilante.
429,Colisión vehículos,Alcance entre dos vehículos. Los vehículos son desplazados hasta apartadero 18RN para la toma de datos. Los vehículos se retiran por sus propios medios. Corte de carril de 08:52 a 09.00 h
430,Colisión de vehículos,Señalizo colisión de vehículos sin heridos.Les ofrezco grúa(me dicen que no).
431,Colisión de vehículos,Colisión entre 2 vehículos en carril derecho.
432,Colisión de vehículos,Colisión de 2 vehículos en carril derecho.Toman los datos reanudan la marcha.
433,Colisión de vehículos,Accidente en carril izquierdo.A mi llegada solo hay 1 veh. Se ofrece grúa y no la quiere.El vehículo es retirado por la grúa.Retiro veh al arcén derecho.
434,Colisión de vehículos,"Accidente em arcén derecho.No se ofrece grúa,los vehículos se retiran por sus medios."
435,Colisión de vehículos,"Accidente entre 2 vehículos por alcance ocupando el carril izquierdo, cuando llega el vigilante se encuentra personal de conservación señalizando."
436,Colisión de vehículos,"Accidente entre 2 vehículos por alcance en el carril central, sin heridos, cuando llega el vigilante la Policía Municipal los trasladó al arcen del PK 32+200. Ambos vehículos se retiran por sus medios."
437,Colisión de vehículos,"Accidente entre 2 vehículos por alcance, cuando llega el vigilante solo queda 1 vehículo implicado ocupando el arcén derecho a la espera de su grúa, se le ofrece al usuario una grúa de M-30 pero la rechaza."
438,Colisión de vehículos,Accidente en carril central. Se ofrece grúa y no la quiere. 10:40 retiramos vehiculo al arcen derecho.
439,Colisión de vehículos,Colisión de 3 vehiculos en carril derecho. Se le ofrece grúa. No la quiere
440,Colisión de vehículos,Alcance entre vehiculos carril derecho. Se retria a 9+600 arcen derecho.
441,Colisión de vehículos,Señalizar accidente en arcén y carril derecho mientras hacen el parte.
442,Colisión de vehículos,Señalizar accidente de 2 vehículos carril izquierdo por alcance
443,Colisión de vehículos,Colisión de veh en carril derecho.Cuando llego solo quedan 2.Le comunico de pedir grúa Rudesa dicen que no.Salen por sus medios.
444,Colisión de vehículos,Accidente por alcance por arcén derecho.El usuario declina la proposición de grúa.
445,Colisión de vehículos,Señalizar accidente carril izquierdo.
447,Colisión de vehículos,"Accidente en carril central,sin heridos.Se ofrece grúa y no la quieren.4 veh se retiran por sus medios y 1 veh se retira en su grúa.A las 18:45 retiramos el veh fuera de zona."
448,Colisión de vehículos,Colisión 2 vehículos en carril central.se trasladan al arcén derecho.Toman datos y reanudan la marcha.
449,Colisión de vehículos,"Alcance entre vehículos carril derecho.A mi llegada,solo queda un vehículo."
450,Colisión de vehículos,Accidente por alcance de 2 vehículos implicados sin heridos.Se marchan por sus propios medios.
451,Colisión de vehículos,Aviso del CCT accidente en carril derecho.Traslado del herido al gregorio Marañon.
452,Colisión de vehículos,"Colisión de 2 vehículos en carril derecho,nos trasladamos al arcén derecho.Toman datos reanudan la marcha."
453,Colisión de vehículos,Alcance entre vehículos señalizamos y salen por sus medios a la llegada de policía.
454,Colisión de vehículos,Accidente en arcén derecho sin heridos.Los vehículos se retiran por sus medios.
455,Colisión de vehículos,Accidente en carril derecho 2 veh se retiran por sus medios y 2 por sus grúas.Se ofrece grúay la quieren.1 herido trasladado al Gregorio Marañon.16:45 retiramos veh al arcén derecho.
456,Colisión de vehículos,Moto impacta por detrás al vehículo.Motorista atendido por Samur.Corte de 2 carriles derechos.Abandonamos el punto
457,Colisión de vehículos,Alcance entre vehículos señalizamos y sacamos 1
458,Colisión de vehículos,Colisión de 2 vehículos en carril derecho.Policía los traslada al arcén derecho.1 de los veh reanuda la marcha.
459,Colisión de vehículos,"Colisión de vehículos en ambas calzadas, con heridos."
460,Otros,"Caída de motorista en arcén derecho, se corta cuarto de carril del lado derecho, hasta que SAMUR atiende y traslada al herido en estado leve al Gregorio Marañon. Da positivo en alcoholemia y moto grúa movilidad"
461,Colisión de vehículos,"Vehículo colisiona lateralmente con otro vehículo desplazandolo y este a su vez se sale a la isleta produciendo daños al patrimonio. Corto carril derecho, se ofrece grúa pero la rechazan. Dejo señal de dirección base de arriba"
462,Otros,"Caída de motorista, señalizo en arcén derecho, se ofrece grúa pero la rechazan"
463,Colisión de vehículos,Señalizar accidente por alcance en carril central. Los pasamos a isleta. 2 vehículos salen por sus medios y los otros con grúa de seguro
464,Colisión de vehículos,Accidente en carril izquierdo. Los vehículos se retiran por sus medios. Finalizo
465,Colisión de vehículos,Corto carril derecho por accidente. Herido leve dado de alta en el punto. Se ofrece grúa y la rechazan
466,Salida de vía,"Salida de via con daños al patrimonio. Vehículo  queda atravesado en 2 carriles derechos, se cortan 2 carriles hasta retirada de este en grúa propia. Se ofrece grúa RUDESA, usuario no quiere el servicio"
467,Salida de vía,Señalizar accidente salida de via sin heridos y con daños a patrimonio de barreras en carril izquierdo. Policía lo retira a gasolinera TAXIS. El vehiculo lo retira un familiar y el conductor da positivo en alcoholemia
468,Salida de vía,"Accidente con motorista implicado, salida de via, es atendido por SAMUR en el punto y causa alta en el mismo. Abandona el punto por sus medios"
469,Colisión de vehículos,colisión de dos vehículos por alcande en 09XC64 con un herido leve en uno de los vehiculos. A un vehiculo lo escoltamos hasta superficie y al otro lo retiramos con C-10
470,Colisión de vehículos,Accidente con heridos. Un herido leve trasladado por SAMUR.
471,Colisión de vehículos,"Colisión de dos  vehiculos por alcance. Antes de llegar, salen por sus medios. Nos anulan de camino"
472,Colisión de vehículos,"Vehículo parado, en el trayecto se produce un accidente, un de los vehículos lo sacamos por grade cero empujando y el otro lo sacamos con el híbrido."
473,Colisión de vehículos,"Señalizar accidente por alcance en ramal salida de Puente de ventas, sin daños ni heridos, los vehículos se retiran por sus medios."
474,Colisión de vehículos,"coche y moto que tienen un alcance, los usuarios abandonan el punto con sus vehículos, se corta carril derecho y señalizamos."
475,Colisión de vehículos,"Alcance entre vehículos en carril derecho. A mi llegada sólo quedan dos turismos, uno de ellos se retira por sus medios."
476,Colisión de vehículos,"Accidente en carril derecho, a mi llegada sólo queda un vehículo."
477,Colisión de vehículos,"Accidente por alcance con motorista herido leve, en carril izquierdo central, cortamos dicho carril, policía activa a Samur y solicitamos C-10. No se traslada al herido y sacamos la moto en grúa C-10."
479,Colisión de vehículos,"Accidente en arcén derecho, 1 herido leve dado de alta en el lugar, 1 vehículo retirado por su grúa , 4 vehículos se retiran por sus medios, se ofrece grúa y no la quiere."
480,Colisión de vehículos,"Empres externa API está comenzando a tealizar corte carril izquierdo con un operario señalizando con linterna al principio del corte, motorista se colisiona con furgoneta de operarios resultando herido y trasladado."
481,Colisión de vehículos,Corto carril derecho por accidente. Los vehiculos se retiran por sus medios.
482,Otros,Precipitado en carril derecho siendo golpeado por el vehiculo 1. Herido trasladado grave. Sin datos del precipitado.
483,Colisión de vehículos,Accidente de motorista en carriles centrales. Herido trasladado con pronostico reservado.
484,Colisión de vehículos,Señaliza accidente por alcance en carril izdo con daños a patrimonio y un herido leve trasladado al H. 12 octubre pronostico reservado. Los vehiculos nº 1 por sus medios y nº 2 en su grua.
485,Colisión de vehículos,Accidente en carril derecho. A mi llegada solo queda un vehiculo en arcen derecho.
486,Vuelco,Señalizar accidente (vuelco) con daños a patrimonio y herido trasladado al H. Ramón y Cajal 8sin pronosticar) y el vehiculo retira grúa movilidad.
487,Colisión de vehículos,Accidente con heriods en carril izquierdo. Herido leve dado de alta en el lugar. Se ofrece grúa y no la quierren. I vehiculo se retira por sus medios. 2 vehiculos retirados por sus grúas.
488,Colisión de vehículos,"Señalizar accidente por alcance en carril derecho, sin daños a patrimonio. El vehiculo 1 se retria por sus medios y los demas en su grúa seguro."
489,Colisión de vehículos,Accidente sin heridos en carril derecho. Se ofrece grúa y no la quierren. 1 vehiculo se retira por sus medios. 1 vehiculo es retirado por su grua.
490,Colisión de vehículos,"Accidente entre 3 vehículos por alcance ocupando el carril derecho, un motorista implicado herido leve y dado de alta en el punto por el Samur, sin daños al patrimonio. Dos de los vehículos se retiran por sus medios y el tercero en su grúa del seguro."
491,Colisión de vehículos,"Accidente entre 2 vehículos por alcance ocupando el carril derecho, 1 herido leve dado de alta en el punto por el Samur y sin daños al patrimonio."
492,Salida de vía,Accidente con 1 motorista implicado por caida de este y que resulta herido sin pronosticar (perdida de memoria) y trasladado al Hospital Gregorio Marañon.
493,Colisión de vehículos,Accidente por alcance entre 2 vehículos. 1 herido leve es trasladado por el Samur al hospital y ambos vehículos son retirados por los Híbridos F-11 y F-12.
494,Colisión de vehículos,Accidente por alcance entre 2 vehículos en el carril izquierdo que son trasladados por Guardía Civil al arcén derecho. Uno de los vehículos implicados se retira por sus medios. Sin heridos ni daños al patrimonio.
495,Colisión de vehículos,Accidente por alcance entre 3 vehículos en el carril derecho central. Sin heridos ni daños al patrimonio.
496,Salida de vía,Accidente de 1 vehículo por salida de vía originando daños en ambos margenes del ramal. 1 herido leve.
497,Salida de vía,Accidente de 1 vehículo por salida de vía causando daños al patrimonio y se activa al reten para la reparación de estos. Sin heridos.
498,Salida de vía,"Accidente entre 2 vehículos por alcance y salida de vía (uno de ellos colisiona contra las barreras), se encuentran ocupando la isleta junto con Policía Municipal ocupando parte de carril, se señaliza. Sin heridos y con daños al patrimonio."
499,Salida de vía,"Accidente de 1 vehículo por salida de vía, no puede ser retirado por la Plataforma C-10 ya que los AIAM de Base Calderón se encuentran en otra incidencia, es cargado en su grúa del seguro."
500,Salida de vía,Accidente de 1 vehículo por salida de vía colisionando contra las barreras y se señaliza junto con Guardia Civil (se queda señalizado con muros de plastico). 1 herido sin pronosticar trasladado al hospital.
501,Colisión de vehículos,"Accidente entre 2 vehículos por alcance que se encuentran ocupando el carril izquierdo mientras los conductores toman datos, ambos vehículos se retiran por sus medios."
502,Colisión de vehículos,Accidente entre 7 vehículos por alcance en el carril izquierdo central. 2 heridos leves dados de alta en el punto por el Samur.
503,Salida de vía,"Accidente de 1 vehículo por salida de vía contra la mediana que revienta un neumático, se encuentra parado en el carril derecho. Sin heridos ni daños al patrimonio."
504,Salida de vía,"Accidente de un vehiculo sin heridos, sin  daños. Cortamos carril derecho. Sacamos el vehiculo al exterior cin la C-10"
505,Vuelco,"Vehiculo que se da ci¡on el bordillo del hastial derecho y vuelca. El conductor no sufre daños, ni daños al patrimonio. Se corta carril derecho y señaliza. Se carga con plataforma."
506,Colisión de vehículos,"Colisión alcance , carril derecho, con heridos, sin daños, se corta carril derecho, hasta uqe Samur atiende a usuario vehiculo 1 dando de alta en punto y aandonan ambos vehiculos por sus medios."
507,Colisión de vehículos,"Colisión alcance, sin heridos, ni daños carril derecho, se corta carril derecho, hasta retirada de vehiculos por sus medios."
508,Colisión de vehículos,"Colisión alcance sin heridos, ni daños en km 10+000. Policía lo pasa al corte del 09XL40, corto carril derecho, hasta retirada de estos por us medios, una vez terminan parte amistoso."
509,Salida de vía,"Señalizar accidente, salida de via, con daños a patrimonio en lado derecho yel vehiculo en carriles izquierdo, sin heridos lo retira grua seguro."
510,Colisión de vehículos,"Colisión alcance carril derecho,sin heridos ni daños.Corto carril derecho hasta la llegada de policía que sacamos vehículos por 10RA a zona urbana"
511,Colisión de vehículos,Señalizar en accidente en carril izquierdo sin daños a patrimonio y un herido leve dado de alta en el lugar.
512,Salida de vía,Vehículo se sale de la vía colisionando contra el muro hormigón por esquivar peatón presuntamente ebrio.Peatón y conductor son trasladados H.Princesa para valoración.
513,Salida de vía,Vehículo se sale de la vía causando daños a patrimonio
514,Salida de vía,Vehículo se sale de vía colisionando contra la barrera y causando daños a patrimonio
515,Colisión de vehículos,Señalizar accidente por alcance lateral en arcén derecho. Vehículos se retiran por sus medios
516,Salida de vía,"Vehículo se sale de la vía produciendo daños en lado izquierdo. Recogida de restos y limpieza de tierra en calzada producida por salida de via5 barreras, 4 CPN y 4 separadores de barrera"
517,Salida de vía,Accidente sin daños en margen derecho
518,Colisión de vehículos,"Corto carril derecho por accidente. Tres heridos leves, dos trasladados, uno dado de alta"
519,Colisión de vehículos,Accidente en carriles derechos
520,Salida de vía,Motorista pierde el control de la moto cayéndose al suelo. Herido leve. Cuando llego se lo ha llevado el SAMUR. Policía me dice que me retire
521,Colisión de vehículos,Colisión entre vehículos en carril izquierdo. Se retiran por sus medios.
522,Colisión de vehículos,alcance entre vehículos en carril central.Un herido.Es trasladado por Samur.
523,Salida de vía,"Vehículo con golpe en rueda delantera izquierda, solicitamos plataforma C10 y policía. No SAMUR. Sacamos el veículo a la calle el Bosco"
524,Colisión de vehículos,Veo desde la calzada izquierda tres vehículos parados.Cuando llegó solo queda 1 los otros se han retirado.Ha sido una colisión por alcance sin heridos.
525,Colisión de vehículos,Colisión de vehículos sin heridos ni daños.Solicitan policía.
526,Colisión de vehículos,Señalizo colisión de vehículos sin heridos y corto carril derecho.Policía solicita Samur y luego se anula.
527,Colisión de vehículos,Señalizo colisión de vehículos con heridos.Corto carril derecho.Heridos dados de alta en el lugar.Pronostico leve (4 heridos).
528,Colisión de vehículos,Señalizar colisión de vehículos carril derecho
